question,possible_answers,subject,predicate,object,object_surfaceform,triple,sub_pred,subject_label,predicate_label,object_label
What type of cuisine is kasha a part of in Belarus?,"[""Polish cuisine"", ""Belarusian cuisine"", ""cuisine of Poland"", ""cuisine of Lithuania"", ""Polish food"", ""Ukrainian cuisine"", ""Ukrainian food"", ""cuisine of Belarus"", ""Russian traditional cuisine"", ""cuisine of Ukraine"", ""Russian cuisine"", ""Lithuanian cuisine"", ""Lithuanian food"", ""Belarus"", ""Russian food""]",Q10379618,P2012,Q1850480,Belarus,Q10379618 P2012 Q1850480,Q10379618 P2012,kasha,cuisine,Belarusian cuisine
What country is the Marañón Province located in?,"[""pe"", ""Republica del Peru"", ""Rep\u00fablica del Per\u00fa"", ""\ud83c\uddf5\ud83c\uddea"", ""Republic of Peru"", ""Peru""]",Q764487,P17,Q419,Peru,Q764487 P17 Q419,Q764487 P17,Marañón Province,country,Peru
"Who composed the music for ""Watch Out For This (Bumaye)""?","[""Thom\u00e1s Goethals"", ""William Anthony Col\u00f3n Rom\u00e1n"", ""Ruben Blades"", ""Thomas Wesley Pentz Jr."", ""Thomas Wesley Pentz"", ""Thomas Pentz"", ""William Anthony Colon"", ""Diplo"", ""Busy Signal"", ""Rub\u00e9n Blades Bellido de Luna"", ""Rub\u00e9n Blades"", ""The Flexican"", ""William Anthony Col\u00f3n"", ""Willie Col\u00f3n"", ""Willie Colon"", ""Flexican""]",Q14493092,P86,Q2469361,The Flexican,Q14493092 P86 Q2469361,Q14493092 P86,Watch Out For This (Bumaye),composer,The Flexican
What language is widely used in Ruijan Kaiku?,"[""Finnish language"", ""Suomi"", ""Norwegian"", ""no"", ""fkv"", ""Kven language"", ""suomi"", ""fi"", ""Norwegian language"", ""Finnish"", ""Kven Finnish"", ""norsk"", ""Kven"", ""suomen kieli""]",Q1794725,P2936,Q165795,Kven,Q1794725 P2936 Q165795,Q1794725 P2936,Ruijan Kaiku,language used,Kven
What is the capital of Codington County?,"[""Watertown"", ""Watertown, South Dakota""]",Q489075,P36,Q1065503,Watertown,Q489075 P36 Q1065503,Q489075 P36,Codington County,capital,Watertown
What educational institution did Joseph Gantner attend?,"[""Uni Z\u00fcrich"", ""Universitat Zurich"", ""University of Basel"", ""Basel University"", ""Universit\u00e4t Z\u00fcrich"", ""UZH"", ""Munich"", ""Ludwig Maximilian University of Munich"", ""LMU"", ""University of Geneva"", ""Uni Zurich"", ""Munich University"", ""Schola Genevensis"", ""UNIGE"", ""LMU Munich"", ""Ludwig-Maximilians-Universit\u00e4t"", ""Universite de Geneve"", ""University of Z\u00fcrich"", ""Universit\u00e9 de Gen\u00e8ve"", ""Universit\u00e4t Basel"", ""Geneva University"", ""University of Zurich"", ""University of Munich""]",Q767883,P69,Q55044,Munich,Q767883 P69 Q55044,Q767883 P69,Joseph Gantner,educated at,Ludwig Maximilian University of Munich
What country is Tayebi-ye Sarhadi-ye Gharbi Rural District located in?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q5684631,P17,Q794,Iran,Q5684631 P17 Q794,Q5684631 P17,Tayebi-ye Sarhadi-ye Gharbi Rural District,country,Iran
What is the publisher of the Generic Universal Role Playing System?,"[""Steve Jackson Games""]",Q1047814,P123,Q762392,Steve Jackson Games,Q1047814 P123 Q762392,Q1047814 P123,Generic Universal Role Playing System,publisher,Steve Jackson Games
What is the capital of Pesaro and Urbino Province?,"[""Urbinus"", ""Pesaro"", ""Urbino""]",Q16241,P36,Q13134,Pesaro,Q16241 P36 Q13134,Q16241 P36,Pesaro and Urbino Province,capital,Pesaro
What sport was the 1989 Grand Prix circuit associated with?,"[""tennis"", ""lawntennis"", ""lawn tennis""]",Q3465367,P641,Q847,tennis,Q3465367 P641 Q847,Q3465367 P641,1989 Grand Prix circuit,sport,tennis
What language is widely used in Huesca Province?,"[""Aragonese"", ""an"", ""aragon\u0161tina"", ""Aragonese language""]",Q55182,P2936,Q8765,Aragonese,Q55182 P2936 Q8765,Q55182 P2936,Huesca Province,language used,Aragonese
What sport is Kazuya Fukuura associated with as a first baseman?,"[""\u26be"", ""America's pastime"", ""baseball""]",Q1326154,P641,Q5369,baseball,Q1326154 P641 Q5369,Q1326154 P641,first baseman,sport,baseball
What specific industry is James DuBose a television producer in?,"[""TV"", ""The performing arts. Show business"", ""entertainment industry"", ""show biz"", ""showbusiness"", ""show business"", ""television"", ""showbiz""]",Q578109,P452,Q625568,entertainment industry,Q578109 P452 Q625568,Q578109 P452,television producer,industry,show business
What religion is the bhikṣu associated with?,"[""Buddhism"", ""Buddha Dharma"", ""Buddhist""]",Q854997,P140,Q748,Buddhist,Q854997 P140 Q748,Q854997 P140,bhikṣu,religion,Buddhism
What religion is associated with the mosque?,"[""Islamic religion"", ""al-\u2019isl\u0101m"", ""Muslim religion"", ""Mohammedanism"", ""religion of the Muslims"", ""Islam""]",Q32815,P140,Q432,Islam,Q32815 P140 Q432,Q32815 P140,mosque,religion,Islam
What sport did the 1956 college football season participate in?,"[""American football"", ""football"", ""American rules football"", ""\ud83c\udfc8"", ""gridiron football""]",Q4568830,P641,Q41323,American football,Q4568830 P641 Q41323,Q4568830 P641,1956 college football season,sport,American football
What country is the list of governorates of Saudi Arabia in?,"[""sa"", ""Saudi Arabia"", ""Kingdom of Saudi Arabia"", ""\ud83c\uddf8\ud83c\udde6"", ""KSA""]",Q3247681,P17,Q851,Saudi Arabia,Q3247681 P17 Q851,Q3247681 P17,list of governorates of Saudi Arabia,country,Saudi Arabia
What country recognizes Raymond Robert Forster as its citizen?,"[""nz"", ""Dominion of New Zealand"", ""NZ"", ""NZL"", ""Aotearoa"", ""Aotearoa New Zealand"", ""\ud83c\uddf3\ud83c\uddff"", ""New Zealand""]",Q1992448,P27,Q664,New Zealand,Q1992448 P27 Q664,Q1992448 P27,Raymond Robert Forster,country of citizenship,New Zealand
What country is Alut District located in?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q4737577,P17,Q794,Iran,Q4737577 P17 Q794,Q4737577 P17,Alut District,country,Iran
What sport does the Iceland national association football team participate in?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""footballer"", ""futbol"", ""soccer""]",Q189198,P641,Q2736,footballer,Q189198 P641 Q2736,Q189198 P641,Iceland national association football team,sport,association football
What country is Kargan Rud District located in?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q4813837,P17,Q794,Iran,Q4813837 P17 Q794,Q4813837 P17,Kargan Rud District,country,Iran
What is the capital of Allegheny County?,"[""Steel City"", ""Pittsburgh"", ""Iron City"", ""Pittsburg"", ""Pittsburg, Pennsylvania"", ""Pgh"", ""Pittsburgh, Pennsylvania"", ""City of Bridges""]",Q156291,P36,Q1342,Pittsburgh,Q156291 P36 Q1342,Q156291 P36,Allegheny County,capital,Pittsburgh
Who was the director of The Lord of the Rings trilogy?,"[""Sir Peter Jackson"", ""Peter Jackson"", ""Peter Robert Jackson"", ""Sir Peter Robert Jackson""]",Q190214,P57,Q4465,Peter Jackson,Q190214 P57 Q4465,Q190214 P57,The Lord of the Rings trilogy,director,Peter Jackson
What sport does the Montenegro national handball team participate in?,"[""Pallammanu"", ""European handball"", ""European team handball"", ""Olympic handball"", ""Borden ball"", ""team handball"", ""handball""]",Q922801,P641,Q8418,handball,Q922801 P641 Q8418,Q922801 P641,Montenegro national handball team,sport,handball
What sport is associated with the list of basketball leagues?,"[""basket ball"", ""b-ball"", ""basketball"", ""Basketball"", ""hoops"", ""BB""]",Q1471217,P641,Q5372,basketball,Q1471217 P641 Q5372,Q1471217 P641,list of basketball leagues,sport,basketball
What sport does the Ukrainian Men's Basketball SuperLeague participate in?,"[""basket ball"", ""b-ball"", ""basketball"", ""Basketball"", ""hoops"", ""BB""]",Q810361,P641,Q5372,basketball,Q810361 P641 Q5372,Q810361 P641,Ukrainian Men's Basketball SuperLeague,sport,basketball
What country is Nazluy-ye Jonubi Rural District located in?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q5684367,P17,Q794,Iran,Q5684367 P17 Q794,Q5684367 P17,Nazluy-ye Jonubi Rural District,country,Iran
What was Ludwig Reiber's occupation?,"[""production designer"", ""artistic coordinator"", ""art director""]",Q1773330,P106,Q706364,art director,Q1773330 P106 Q706364,Q1773330 P106,Ludwig Reiber,occupation,art director
What country is Firuzjah Rural District located in?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q5683873,P17,Q794,Iran,Q5683873 P17 Q794,Q5683873 P17,Firuzjah Rural District,country,Iran
"What channel, network, website or service broadcast ""What If...?""?","[""Disney+ Hotstar (India & Asia)"", ""Disney+"", ""Disney+ Star (Europe & Asia)"", ""Disney Plus""]",Q65980671,P3301,Q54958752,Disney+,Q65980671 P3301 Q54958752,Q65980671 P3301,What If...?,broadcast by,Disney+
What religion was the bishop of Adiabene associated with?,"[""Christian"", ""Christianity"", ""Christian faith""]",Q29182,P140,Q5043,Christian,Q29182 P140 Q5043,Q29182 P140,bishop,religion,Christianity
"What organization or person is responsible for publishing books, periodicals, printed music, podcasts, games or software on Dance/Mix Show Airplay?","[""Billboard"", ""The Billboard""]",Q1628528,P123,Q485240,Billboard,Q1628528 P123 Q485240,Q1628528 P123,Dance/Mix Show Airplay,publisher,Billboard
What country is Valladolid Province located in?,"[""ES"", ""Espa\u00f1a"", ""Kingdom of Spain"", ""Spain"", ""ESP""]",Q71097,P17,Q29,Spain,Q71097 P17 Q29,Q71097 P17,Valladolid Province,country,Spain
What was Fritz Jüptner-Jonstorff's occupation?,"[""production designer"", ""artistic coordinator"", ""art director""]",Q1466884,P106,Q706364,art director,Q1466884 P106 Q706364,Q1466884 P106,Fritz Jüptner-Jonstorff,occupation,art director
What religion is the Quaker meeting house associated with?,"[""Quakers"", ""Society of Friends"", ""Quaker"", ""Friends"", ""Religious Society of Friends""]",Q5504247,P140,Q170208,Quaker,Q5504247 P140 Q170208,Q5504247 P140,Quaker meeting house,religion,Quakers
What religion is associated with the church building?,"[""Christianity"", ""Christian faith""]",Q16970,P140,Q5043,Christian faith,Q16970 P140 Q5043,Q16970 P140,church building,religion,Christianity
"What country is Poshtkuh Rural District, located in Sistan and Baluchestan, part of?","[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q17078851,P17,Q794,Iran,Q17078851 P17 Q794,Q17078851 P17,Poshtkuh Rural District,country,Iran
"In which country is Śródmieście, one of four districts of Szczecin, located?","[""Republic of Poland"", ""Poland"", ""PL"", ""Polska"", ""POL""]",Q8082042,P17,Q36,Poland,Q8082042 P17 Q36,Q8082042 P17,Śródmieście,country,Poland
What religious organization is the military ordinariate associated with within the Catholic Diocese of the Australian Military Services?,"[""Roman Apostolic Catholic Church"", ""Catholic Church"", ""Roman Catholic Church"", ""Church""]",Q1531518,P140,Q9592,Roman Catholic Church,Q1531518 P140 Q9592,Q1531518 P140,military ordinariate,religion,Catholic Church
What sport does CS Dinamo Bucureşti participate in?,"[""Pallammanu"", ""European handball"", ""European team handball"", ""Olympic handball"", ""Borden ball"", ""team handball"", ""handball""]",Q2756796,P641,Q8418,handball,Q2756796 P641 Q8418,Q2756796 P641,CS Dinamo Bucureşti,sport,handball
What religion is associated with the imam?,"[""Islamic religion"", ""al-\u2019isl\u0101m"", ""Muslim religion"", ""Mohammedanism"", ""religion of the Muslims"", ""Islam""]",Q125482,P140,Q432,Islam,Q125482 P140 Q432,Q125482 P140,imam,religion,Islam
What country is the Dialgaye Department located in?,"[""bf"", ""\ud83c\udde7\ud83c\uddeb"", ""Burkina Faso""]",Q278680,P17,Q965,Burkina Faso,Q278680 P17 Q965,Q278680 P17,Dialgaye Department,country,Burkina Faso
What country is Kakhk Rural District located in?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q10856054,P17,Q794,Iran,Q10856054 P17 Q794,Q10856054 P17,Kakhk Rural District,country,Iran
What country is Howmeh Rural District (Rasht County) located in?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q5679319,P17,Q794,Iran,Q5679319 P17 Q794,Q5679319 P17,Howmeh Rural District (Rasht County),country,Iran
What country is Badreh District located in?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q4841121,P17,Q794,Iran,Q4841121 P17 Q794,Q4841121 P17,Badreh District,country,Iran
What is the capital of Cabell County?,"[""Huntington, West Virginia"", ""Huntington""]",Q494129,P36,Q241808,Huntington,Q494129 P36 Q241808,Q494129 P36,Cabell County,capital,Huntington
What country recognizes Jean-Bedel Bokassa as its citizen?,"[""R\u00e9publique fran\u00e7aise"", ""Republique centrafricaine"", ""Centrafrique"", ""cf"", ""FR"", ""Central African Empire"", ""La France"", ""the Hexagon"", ""French Republic"", ""France"", ""CAF"", ""Central African Republic"", ""fr"", ""FRA"", ""R\u00e9publique centrafricaine"", ""CAR"", ""Republic of France"", ""K\u00f6d\u00f6r\u00f6s\u00ease t\u00ee B\u00eaafr\u00eeka"", ""\ud83c\udde8\ud83c\uddeb""]",Q162708,P27,Q929,Central African Republic,Q162708 P27 Q929,Q162708 P27,Jean-Bedel Bokassa,country of citizenship,Central African Republic
What country is Bolbanabad District located in?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q4938965,P17,Q794,Iran,Q4938965 P17 Q794,Q4938965 P17,Bolbanabad District,country,Iran
What country is Majin District located in?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q6737892,P17,Q794,Iran,Q6737892 P17 Q794,Q6737892 P17,Majin District,country,Iran
What sport does Palermo FC participate in?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""futbol"", ""soccer""]",Q2674,P641,Q2736,football,Q2674 P641 Q2736,Q2674 P641,Palermo FC,sport,association football
What country is Kut-e Abdollah Rural District located in?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q6448272,P17,Q794,Iran,Q6448272 P17 Q794,Q6448272 P17,Kut-e Abdollah Rural District,country,Iran
What was Oscar Werndorff's occupation?,"[""production designer"", ""artistic coordinator"", ""art direction"", ""art director""]",Q7106311,P106,Q706364,art direction,Q7106311 P106 Q706364,Q7106311 P106,Oscar Werndorff,occupation,art director
What country is the Vargas state in?,"[""Venezuela"", ""Bolivarian Republic of Venezuela"", ""BR Venezuela"", ""Vzla"", ""\ud83c\uddfb\ud83c\uddea"", ""VEN"", ""Estados Unidos de Venezuela"", ""VE""]",Q205843,P17,Q717,Venezuela,Q205843 P17 Q717,Q205843 P17,Vargas state,country,Venezuela
What specific industry is Kari Sylwan known for in the field of dance choreography?,"[""dance"", ""dancer"", ""dancing""]",Q3764113,P452,Q11639,dancer,Q3764113 P452 Q11639,Q3764113 P452,dance choreography,industry,dance
What sport does OF Ierapetra participate in?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""footballer"", ""futbol"", ""soccer""]",Q12882053,P641,Q2736,footballer,Q12882053 P641 Q2736,Q12882053 P641,OF Ierapetra,sport,association football
What sport does Al Sadd Sports Club participate in?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""footballer"", ""futbol"", ""soccer""]",Q283545,P641,Q2736,footballer,Q283545 P641 Q2736,Q283545 P641,Al Sadd Sports Club,sport,association football
What sport does Sabah Football Club participate in?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""futbol"", ""soccer""]",Q43082535,P641,Q2736,football,Q43082535 P641 Q2736,Q43082535 P641,Sabah Football Club,sport,association football
Who is the composer of Mozart's Requiem?,"[""Johann Chrysostom Wolfgang Amadeus Mozart"", ""Franz Sussmayr"", ""V. A. Mocartas"", ""S\u00fcssmayr"", ""Wolfgang Amad\u00e8 Mozart"", ""Johann Chrysostomos Wolfgang Gottlieb Mozart"", ""W. A. Mozart"", ""Franz Xaver S\u00fcssmayr"", ""Wolfgang Amadeus Mozart"", ""Volphnkank Amedaios Motsart"", ""Wolfgango Amadeo Mozart"", ""Johannes Chrisostomus Wolfgangus Theophilus Mozart"", ""Franz Xaver S\u00fc\u00dfmayr"", ""Joannes Chrysostomus Wolfgangus Theophilus Amadeus Mozart"", ""Mozhate"", ""Franz Xaver S\u00fcssmayer"", ""Joannes Chrysostomus Wolfgangus Amadeus Mozart"", ""Franz Xaver Sussmayr"", ""Franz Xaver Sussmayer"", ""Sussmayr"", ""Wolfgang Amadeus Chrysostom Mozart"", ""Wolfgang Gottlieb Mozart"", ""Apollo Mozzart"", ""Mozart"", ""Franz S\u00fcssmayr""]",Q207875,P86,Q254,Mozart,Q207875 P86 Q254,Q207875 P86,Mozart's Requiem,composer,Wolfgang Amadeus Mozart
What country is the Crown corporation of Canada in?,"[""can"", ""CAN"", ""Can."", ""ca"", ""Canada"", ""CA"", ""Dominion of Canada"", ""British North America""]",Q5189488,P17,Q16,Canada,Q5189488 P17 Q16,Q5189488 P17,Crown corporation of Canada,country,Canada
What country recognizes Jean-Marie Gustave Le Clézio as its citizen?,"[""France"", ""fr"", ""R\u00e9publique fran\u00e7aise"", ""FRA"", ""Republic of Mauritius"", ""mu"", ""Mauritius"", ""Republic of France"", ""FR"", ""Maurice"", ""La France"", ""Moris"", ""\ud83c\uddf2\ud83c\uddfa"", ""French"", ""the Hexagon"", ""French Republic"", ""MRI""]",Q42037,P27,Q142,French,Q42037 P27 Q142,Q42037 P27,Jean-Marie Gustave Le Clézio,country of citizenship,France
What sport is the FIBA Africa Championship for Women associated with?,"[""basket ball"", ""b-ball"", ""basketball"", ""Basketball"", ""hoops"", ""BB""]",Q785369,P641,Q5372,basketball,Q785369 P641 Q5372,Q785369 P641,FIBA Africa Championship for Women,sport,basketball
Who is the author of Fredman's Epistles?,"[""Carl Michael Bellman""]",Q5383621,P50,Q312498,Carl Michael Bellman,Q5383621 P50 Q312498,Q5383621 P50,Fredman's Epistles,author,Carl Michael Bellman
What country is Bala Larijan Rural District located in?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q5679112,P17,Q794,Iran,Q5679112 P17 Q794,Q5679112 P17,Bala Larijan Rural District,country,Iran
What organization or person was responsible for publishing Middle-Earth Role Playing?,"[""Iron Crown Enterprises""]",Q5473,P123,Q1365227,Iron Crown Enterprises,Q5473 P123 Q1365227,Q5473 P123,Middle-Earth Role Playing,publisher,Iron Crown Enterprises
What is the capital of the Karas Region?,"[""Keetmanshoop""]",Q573467,P36,Q160884,Keetmanshoop,Q573467 P36 Q160884,Q573467 P36,Karas Region,capital,Keetmanshoop
What is the country that the list of islands of Indonesia is in?,"[""Indonesia"", ""IDN"", ""INA"", ""Republic of Indonesia"", ""id"", ""ID""]",Q1142361,P17,Q252,Indonesia,Q1142361 P17 Q252,Q1142361 P17,list of islands of Indonesia,country,Indonesia
What is the name of the female parent of the Okeanid?,"[""Tethys""]",Q182406,P25,Q184216,Tethys,Q182406 P25 Q184216,Q182406 P25,Okeanid,mother,Tethys
Who is the author of Noli Me Tángere?,"[""Dimasalang"", ""Jos\u00e9 Rizal"", ""Jos\u00e9 Protasio Rizal Mercado y Alonso Realonda"", ""Jos\u00e9 Protasio Rizal"", ""Jose P. Rizal"", ""Jos\u00e9 P. Rizal"", ""Laong Laan"", ""Jose Rizal"", ""Jose Protasio Rizal"", ""Jose Protasio Rizal Mercado y Alonso Realonda""]",Q568299,P50,Q1500,Jose Rizal,Q568299 P50 Q1500,Q568299 P50,Noli Me Tángere,author,José Rizal
What was Jacques Colombier's (1901-1988) profession?,"[""production designer"", ""artistic coordinator"", ""art director""]",Q3158560,P106,Q706364,art director,Q3158560 P106 Q706364,Q3158560 P106,Jacques Colombier,occupation,art director
What is the name of the father of Ali ibn al-Husayn Zayn al-'Abidin?,"[""\u1e24usayn ibn \u2018Al\u012b ibn Ab\u012b T\u0101lib"", ""Shahrbanu"", ""Hussein"", ""Hussain"", ""Husayn ibn Ali"", ""Master of the Martyrs"", ""Husain"", ""Follower of God's Will"", ""Leader of the Youth of Paradise""]",Q314978,P22,Q112128,Husayn ibn Ali,Q314978 P22 Q112128,Q314978 P22,Ali ibn al-Husayn Zayn al-'Abidin,father,Husayn ibn Ali
What was Arne Åkermark's occupation?,"[""artistic coordinator"", ""interior decorator"", ""interior designer"", ""internal design"", ""interior architect"", ""art director""]",Q18640558,P106,Q706364,art director,Q18640558 P106 Q706364,Q18640558 P106,Arne Åkermark,occupation,art director
What is the capital of Kosovska Mitrovica District?,"[""Mitrovica""]",Q1046673,P36,Q178168,Mitrovica,Q1046673 P36 Q178168,Q1046673 P36,Kosovska Mitrovica District,capital,Mitrovica
What was Lucien Aguettand's occupation?,"[""production designer"", ""artistic coordinator"", ""art director""]",Q3265335,P106,Q706364,art director,Q3265335 P106 Q706364,Q3265335 P106,Lucien Aguettand,occupation,art director
What sport does the Czech First Division participate in?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""futbol"", ""soccer""]",Q2952064,P641,Q2736,football,Q2952064 P641 Q2736,Q2952064 P641,Czech First Division,sport,association football
What is the seat of government of Chowan County?,"[""Edenton"", ""Edenton, North Carolina""]",Q943772,P36,Q2028258,Edenton,Q943772 P36 Q2028258,Q943772 P36,Chowan County,capital,Edenton
What religion is associated with the gurdwara?,"[""Sikh"", ""Sikhism"", ""Nanakism"", ""Gurmat"", ""Sikhi""]",Q337986,P140,Q9316,Sikhism,Q337986 P140 Q9316,Q337986 P140,gurdwara,religion,Sikhism
"What was Hans Kuhnert's occupation, the German (1901-1974)?","[""actress"", ""artistic coordinator"", ""production designer"", ""actresses"", ""actors"", ""actor"", ""merchant"", ""art director""]",Q1576446,P106,Q2962070,production designer,Q1576446 P106 Q2962070,Q1576446 P106,Hans Kuhnert,occupation,production designer
What country is Dana Rural District located in?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q5680844,P17,Q794,Iran,Q5680844 P17 Q794,Q5680844 P17,Dana Rural District,country,Iran
What is the capital of Gaston County?,"[""Gastonia, North Carolina"", ""Gastonia""]",Q511849,P36,Q943775,Gastonia,Q511849 P36 Q943775,Q511849 P36,Gaston County,capital,Gastonia
What sport is associated with football in Mexico?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""futbol"", ""soccer""]",Q909340,P641,Q2736,association football,Q909340 P641 Q2736,Q909340 P641,football in Mexico,sport,association football
What sport does FC Bourg-Péronnas participate in?,"[""futebol"", ""footie"", ""association football"", ""footy"", ""football"", ""futbol"", ""soccer""]",Q74030,P641,Q2736,association football,Q74030 P641 Q2736,Q74030 P641,FC Bourg-Péronnas,sport,association football
What country recognizes Julio Saraceni as its citizen?,"[""ar"", ""AR"", ""Argentina"", ""Argentine Republic"", ""\ud83c\udde6\ud83c\uddf7"", ""ARG"", ""Republic of Argentina"", ""Argentine""]",Q6309534,P27,Q414,Argentine,Q6309534 P27 Q414,Q6309534 P27,Julio Saraceni,country of citizenship,Argentina
Who is the director of Fahrenheit 9/11?,"[""Michael Francis Moore"", ""Michael Moore""]",Q221852,P57,Q174908,Michael Moore,Q221852 P57 Q174908,Q221852 P57,Fahrenheit 9/11,director,Michael Moore
What was Carl Julius Bergstrøm's occupation?,"[""architect"", ""engineer""]",Q1039104,P106,Q42973,architect,Q1039104 P106 Q42973,Q1039104 P106,Carl Julius Bergstrøm,occupation,architect
What is the country of citizenship of Thomas Riley Marshall?,"[""the US"", ""the States"", ""U. S."", ""America"", ""the United States"", ""US of A"", ""U. S. A."", ""United States of America"", ""US"", ""U.S"", ""U.S."", ""the USA"", ""'Merica"", ""'Murica"", ""U.S.A."", ""USA"", ""United States"", ""the U.S."", ""the United States of America""]",Q299001,P27,Q30,United States,Q299001 P27 Q30,Q299001 P27,Thomas Riley Marshall,country of citizenship,United States of America
What country recognizes Robert J. Raven as its citizen?,"[""au"", ""Australia"", ""Straya"", ""Aussieland"", ""AU"", ""\ud83c\udde6\ud83c\uddfa"", ""British Colony of Australia"", ""Commonwealth of Australia"", ""AUS""]",Q2273486,P27,Q408,Australia,Q2273486 P27 Q408,Q2273486 P27,Robert J. Raven,country of citizenship,Australia
What country is Razavar Rural District located in?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q14905438,P17,Q794,Iran,Q14905438 P17 Q794,Q14905438 P17,Razavar Rural District,country,Iran
What is the capital of Georgetown County?,"[""Georgetown, South Carolina"", ""Georgetown""]",Q505980,P36,Q603389,Georgetown,Q505980 P36 Q603389,Q505980 P36,Georgetown County,capital,Georgetown
What was Paul Markwitz's occupation?,"[""art director"", ""artistic coordinator"", ""production designer""]",Q121069,P106,Q2962070,production designer,Q121069 P106 Q2962070,Q121069 P106,Paul Markwitz,occupation,production designer
What country is Lafmejan Rural District located in?,"[""Iran"", ""Persia"", ""\ud83c\uddee\ud83c\uddf7"", ""ir"", ""Islamic Republic of Iran"", ""Islamic Rep. Iran""]",Q15215562,P17,Q794,Iran,Q15215562 P17 Q794,Q15215562 P17,Lafmejan Rural District,country,Iran
"Who composed ""La guirlande de Campra""?","[""Jean-Yves Daniel-Lesur"", ""Francis Jean Marcel Poulenc"", ""Alexis Roland-Manuel"", ""Daniel-Lesur"", ""Arthur Honegger"", ""Georges Auric"", ""Henri Sauguet"", ""Francis Poulenc"", ""Oscar-Arthur Honegger"", ""Germaine Tailleferre""]",Q6466183,P86,Q955697,Jean-Yves Daniel-Lesur,Q6466183 P86 Q955697,Q6466183 P86,La guirlande de Campra,composer,Jean-Yves Daniel-Lesur
What religion do Han Chinese people practice?,"[""Buddhism"", ""Islamic religion"", ""traditional Chinese religion"", ""Christianity"", ""Taoism"", ""Chinese folk religion"", ""al-\u2019isl\u0101m"", ""Muslim religion"", ""Mohammedanism"", ""Daoism"", ""Buddha Dharma"", ""Confucianism"", ""ancestor worship"", ""Christian faith"", ""Ruism"", ""religion of the Muslims"", ""Islam"", ""veneration of the dead""]",Q42740,P140,Q1074275,Chinese folk religion,Q42740 P140 Q1074275,Q42740 P140,Han Chinese people,religion,Chinese folk religion
What nation within the UK is a country?,"[""G. B."", ""United Kingdom"", ""Great Britain"", ""U K"", ""G B R"", ""Britain"", ""Great Britain and Northern Ireland"", ""U. K."", ""G.B."", ""\ud83c\uddec\ud83c\udde7"", ""UK"", ""GBR"", ""G B"", ""GB"", ""G.B.R."", ""United Kingdom of Great Britain and Northern Ireland"", ""U.K.""]",Q3336843,P17,Q145,United Kingdom,Q3336843 P17 Q145,Q3336843 P17,nation within the UK,country,United Kingdom
What was Henrik Nissen's occupation?,"[""architect""]",Q3368847,P106,Q42973,architect,Q3368847 P106 Q42973,Q3368847 P106,Henrik Nissen,occupation,architect
